Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|Q9CQA9|NTPCR_MOUSE	Q9CQA9	NTPCR_MOUSE	Ntpcr	190	Mus musculus OX=10090	Cancer-related nucleoside-triphosphatase homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	1949867	1949867	1949867	12K(229.1629), N-term(229.1629)			155559.6811	144461.5674	116130.5299	141451.4601	189759.2637	177836.3155	197695.7348	189508.2265	180838.9085	187972.1765
sp|Q9CQB5|CISD2_MOUSE	Q9CQB5	CISD2_MOUSE	Cisd2	135	Mus musculus OX=10090	CDGSH iron-sulfur domain-containing protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	15	15	15	15838590	15838590	15838590	11C(57.0214), 11K(229.1629), 14K(229.1629), 15K(229.1629), 5C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629)			1109888.8621	1261240.7518	961785.3769	1025000.7713	1363981.1396	1187382.3466	1118622.9297	952357.1975	971832.4035	892478.1360
sp|Q9CQC6|5MP2_MOUSE	Q9CQC6	5MP2_MOUSE	Bzw1	419	Mus musculus OX=10090	eIF5-mimic protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	19	19	19	6925842	6925842	6925842	10K(229.1629), 26K(229.1629), 2M(15.9949), 3K(229.1629), 6M(15.9949), 8K(229.1629), 9C(57.0214), 9K(229.1629), N-term(229.1629)			669158.6112	793370.9533	580392.9065	583143.9266	824904.9297	691758.8654	625824.4320	528294.7409	611617.1354	481393.7868
sp|Q9CQC7|NDUB4_MOUSE	Q9CQC7	NDUB4_MOUSE	Ndufb4	129	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	41	41	41	93496665	93496665	93496665	10K(229.1629), 13K(229.1629), 2K(229.1629), 2S(229.1629), N-term(229.1629)			3752881.7262	3962842.8888	3462396.0569	2961130.0460	4115711.0547	4008935.2883	2895820.7035	2511862.6581	2247526.5369	2277449.8015
sp|Q9CQC9|SAR1B_MOUSE	Q9CQC9	SAR1B_MOUSE	Sar1b	198	Mus musculus OX=10090	GTP-binding protein SAR1b 	1:Experimental evidence at protein level	1.0000	0.9990	15	12	15	79	64	79	171545040	146613128	171545040	11K(229.1629), 11M(15.9949), 12C(57.0214), 12K(229.1629), 12M(15.9949), 12S(229.1629), 14K(229.1629), 15C(57.0214), 16K(229.1629), 20M(15.9949), 23K(229.1629), 28K(229.1629), 2M(15.9949), 4M(15.9949), 5K(229.1629), 6M(15.9949), 7C(57.0214), 7M(15.9949), 8K(229.1629), N-term(229.1629)			7819470.1642	6455710.6093	5553695.4289	6800146.1852	9414828.2886	8067200.0817	7396545.4180	5461909.2578	6807906.9537	5097953.8035
sp|Q9CQD1|RAB5A_MOUSE	Q9CQD1	RAB5A_MOUSE	Rab5a	215	Mus musculus OX=10090	Ras-related protein Rab-5A 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	14	14	14	43260890	5977982	5977982	13K(229.1629), 14K(229.1629), 19M(15.9949), 24K(229.1629), 2S(229.1629), 3M(15.9949), N-term(229.1629)			418666.4978	488438.3641	314904.8039	322570.2803	466074.6104	430096.6315	349560.5331	269556.1592	369932.7909	268923.0945
sp|Q9CQE8|RTRAF_MOUSE	Q9CQE8	RTRAF_MOUSE	RTRAF	244	Mus musculus OX=10090	RNA transcription, translation and transport factor protein 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	38	38	38	14940456	14940456	14940456	10K(229.1629), 10S(229.1629), 14C(57.0214), 15K(229.1629), 16K(229.1629), 4C(57.0214), 4M(15.9949), 7K(229.1629), 7M(15.9949), 8K(229.1629), 9K(229.1629), N-term(229.1629)			1892370.2139	1991623.4820	1578606.0303	1701091.5314	2196693.9878	1923433.9579	2013171.5427	1633145.3867	1720204.6031	1614490.7746
sp|Q9CQF0|RM11_MOUSE	Q9CQF0	RM11_MOUSE	Mrpl11	192	Mus musculus OX=10090	39S ribosomal protein L11, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	12	12	12	6111026	6111026	6111026	11K(229.1629), 12K(229.1629), 2K(229.1629), 4K(229.1629), 8K(229.1629), 8M(15.9949), N-term(229.1629)			467771.3926	461574.1950	394089.8077	527339.7884	615335.9902	542344.4742	591381.5296	538786.0970	564977.6795	547838.1593
sp|Q9CQF4|MRES1_MOUSE	Q9CQF4	MRES1_MOUSE	Mtres1	240	Mus musculus OX=10090	Mitochondrial transcription rescue factor 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	7362926	7362926	7362926	13K(229.1629), 15K(229.1629), 8M(15.9949), N-term(229.1629)			291219.5875	298295.6449	231187.8466	231512.2542	330839.1250	255285.7764	276758.8521	254270.1910	254408.0065	259903.2441
sp|Q9CQF9|PCYOX_MOUSE	Q9CQF9	PCYOX_MOUSE	Pcyox1	505	Mus musculus OX=10090	Prenylcysteine oxidase 1 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	36	36	36	11687973	11687973	11687973	10M(15.9949), 11M(15.9949), 11S(229.1629), 13K(229.1629), 14K(229.1629), 16M(15.9949), 17K(229.1629), 1C(57.0214), 20K(229.1629), 21K(229.1629), 22K(229.1629), 2M(15.9949), 3S(229.1629), 7K(229.1629), 9S(229.1629), N-term(229.1629)			2186322.4114	2117320.6522	1682590.0278	1955273.0437	2639268.1548	2214368.1240	2409019.4912	1869644.8666	2032964.8549	1847759.8471
sp|Q9CQH3|NDUB5_MOUSE	Q9CQH3	NDUB5_MOUSE	Ndufb5	189	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	40	40	40	212374400	212374400	212374400	11K(229.1629), 13K(229.1629), 15K(229.1629), 2K(229.1629), 5K(229.1629), 6S(229.1629), 8K(229.1629), N-term(229.1629)			6930995.9164	7119446.8593	5952310.7152	6082268.6589	8281009.6860	8135039.5113	6403919.1634	5611682.6328	5043277.6392	4997548.9656
sp|Q9CQH7|BT3L4_MOUSE	Q9CQH7	BT3L4_MOUSE	Btf3l4	158	Mus musculus OX=10090	Transcription factor BTF3 homolog 4 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	12	12	12	4638499	3641204	3641204	14M(15.9949), 16K(229.1629), 17K(229.1629), 1K(229.1629), 26K(229.1629), 28K(229.1629), 29K(229.1629), 3K(229.1629), N-term(229.1629)			245505.6316	209362.3664	187538.6581	265537.1105	324300.4092	284452.9455	334584.8470	308167.7972	298453.6168	328597.7062
sp|Q9CQI3|GMFB_MOUSE	Q9CQI3	GMFB_MOUSE	Gmfb	142	Mus musculus OX=10090	Glia maturation factor beta 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	15	9	15	9490824	7603266	9490824	10K(229.1629), 16K(229.1629), 17K(229.1629), 7C(57.0214), 7K(229.1629), 9K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			1072959.7890	957914.3229	870930.6409	966877.0196	1366861.7920	1036938.7116	1065776.1282	865532.2029	906951.1399	836155.6698
sp|Q9CQI6|COTL1_MOUSE	Q9CQI6	COTL1_MOUSE	Cotl1	142	Mus musculus OX=10090	Coactosin-like protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	11	11	11	5401268	5401268	5401268	22C(57.0214), 7M(15.9949), 9K(229.1629), N-term(229.1629)			172215.2434	172547.4782	149034.5673	176569.9505	316950.8154	169353.2762	216010.4707	195105.6252	205258.2011	212841.6951
sp|Q9CQJ6|DENR_MOUSE	Q9CQJ6	DENR_MOUSE	Denr	198	Mus musculus OX=10090	Density-regulated protein 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	28	28	28	23028478	23028478	23028478	12C(57.0214), 12K(229.1629), 13K(229.1629), 14C(57.0214), 16K(229.1629), 17K(229.1629), 17M(15.9949), 18K(229.1629), 22K(229.1629), 2C(57.0214), 4C(57.0214), 7C(57.0214), 8K(229.1629), N-term(229.1629), N-term(42.0106)			2712109.4211	3222735.6787	2392161.0225	2480498.6634	3318296.1240	2842055.8449	2477667.8426	2082654.3203	2437133.7062	1982988.1205
sp|Q9CQJ8|NDUB9_MOUSE	Q9CQJ8	NDUB9_MOUSE	Ndufb9	179	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	59	59	59	103253786	103253786	103253786	10K(229.1629), 12M(15.9949), 12S(229.1629), 14K(229.1629), 20S(229.1629), 25S(229.1629), 2M(15.9949), 3C(57.0214), 4C(57.0214), 4S(229.1629), 5C(57.0214), 5K(229.1629), 6C(57.0214), 6M(15.9949), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629), N-term(42.0106)			5058619.1263	5608744.9526	5030501.5017	4839083.1915	6491859.4502	6766867.5966	4655318.0483	4186221.1341	3707154.8651	3924178.6935
sp|Q9CQM5|TXD17_MOUSE	Q9CQM5	TXD17_MOUSE	Txndc17	123	Mus musculus OX=10090	Thioredoxin domain-containing protein 17 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	20	20	20	19408142	19408142	19408142	10K(229.1629), 14M(15.9949), 16K(229.1629), 3C(57.0214), 6C(57.0214), 7C(57.0214), 9K(229.1629), N-term(229.1629), N-term(42.0106)			949199.5264	746993.6181	730289.6050	772172.0274	1078562.3279	890998.8691	957966.0470	700114.0784	833989.8505	707834.8826
sp|Q9CQM9|GLRX3_MOUSE	Q9CQM9	GLRX3_MOUSE	Glrx3	337	Mus musculus OX=10090	Glutaredoxin-3 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	55	55	55	45486603	45486603	45486603	10K(229.1629), 11K(229.1629), 12C(57.0214), 12K(229.1629), 12M(15.9949), 13K(229.1629), 14K(229.1629), 1K(229.1629), 25K(229.1629), 2M(15.9949), 3S(229.1629), 4M(15.9949), 6S(229.1629), 7C(57.0214), 7M(15.9949), 8C(57.0214), 8K(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			3940416.9783	3328993.9434	3020470.4217	3220349.8449	4462179.0742	3607898.7439	3720046.0455	2987167.9981	3140240.9611	2903834.2328
sp|Q9CQN1|TRAP1_MOUSE	Q9CQN1	TRAP1_MOUSE	Trap1	706	Mus musculus OX=10090	Heat shock protein 75 kDa, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	29	29	29	69	69	69	18554196	14049402	18554196	11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 13M(15.9949), 14K(229.1629), 15K(229.1629), 17K(229.1629), 18K(229.1629), 1K(229.1629), 20K(229.1629), 3C(57.0214), 3S(229.1629), 6C(57.0214), 7K(229.1629), 7M(15.9949), 8K(229.1629), 8M(15.9949), 9K(229.1629), 9M(15.9949), N-term(229.1629)			4774298.7306	4671074.8187	3973164.7061	3730523.9661	5288020.6699	4978351.9538	5042858.7194	4016150.5107	3791902.7874	3923262.1083
sp|Q9CQN7|RM41_MOUSE	Q9CQN7	RM41_MOUSE	Mrpl41	135	Mus musculus OX=10090	39S ribosomal protein L41, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	8	8	8	5294465	5294465	5294465	12K(229.1629), 13K(229.1629), 15K(229.1629), 2M(15.9949), 7K(229.1629), N-term(229.1629)			359181.4133	229244.1080	251955.5613	323967.3307	406479.0088	372640.9644	464795.0425	409923.6911	355964.8061	488783.5231
sp|Q9CQQ7|AT5F1_MOUSE	Q9CQQ7	AT5F1_MOUSE	Atp5pb	256	Mus musculus OX=10090	ATP synthase F(0) complex subunit B1, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	126	126	126	420968064	420968064	420968064	10K(229.1629), 10M(15.9949), 11K(229.1629), 11M(15.9949), 12K(229.1629), 12M(15.9949), 13K(229.1629), 13M(15.9949), 15K(229.1629), 16K(229.1629), 1K(229.1629), 20K(229.1629), 2K(229.1629), 3S(229.1629), 6M(15.9949), 6S(229.1629), 7M(15.9949), 8K(229.1629), 8M(15.9949), 8S(229.1629), N-term(229.1629)			45318958.4459	49804268.6048	38231917.6079	30625607.2052	41439328.1650	46883299.9312	26145422.8021	21943312.5043	20538297.2331	19476053.3051
sp|Q9CQQ8|LSM7_MOUSE	Q9CQQ8	LSM7_MOUSE	Lsm7	103	Mus musculus OX=10090	U6 snRNA-associated Sm-like protein LSm7 	1:Experimental evidence at protein level	1.0000	0.9989	4	3	4	6	4	6	7107358	3148702	7107358	7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), N-term(229.1629)			389562.2714	388754.8925	318334.7512	336442.7371	481649.2202	359328.5414	434234.5526	369036.6756	351315.3610	324507.0207
sp|Q9CQR2|RS21_MOUSE	Q9CQR2	RS21_MOUSE	Rps21	83	Mus musculus OX=10090	40S ribosomal protein S21 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	17	17	17	69807572	69807572	69807572	1M(15.9949), 2M(15.9949), 4S(229.1629), 5C(57.0214), 7K(229.1629), 7M(15.9949), N-term(229.1629), N-term(42.0106)			2421452.6585	2441551.0540	2007997.0427	1578625.7182	2422390.8730	2102223.8549	2013152.7296	1662416.3113	1637270.1706	1540243.3172
sp|Q9CQR4|ACO13_MOUSE	Q9CQR4	ACO13_MOUSE	Acot13	140	Mus musculus OX=10090	Acyl-coenzyme A thioesterase 13 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	35	35	35	261928258	261928258	261928258	10K(229.1629), 12K(229.1629), 13K(229.1629), 14M(15.9949), 18K(229.1629), 19M(15.9949), 22M(15.9949), 23C(57.0214), 2S(229.1629), 3M(15.9949), 8K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			8433875.0271	7976662.6922	7330949.2961	5092300.7202	7894759.3689	8202820.2475	5889730.1965	5286168.1761	4326674.8057	4398681.3740
sp|Q9CQR6|PPP6_MOUSE	Q9CQR6	PPP6_MOUSE	Ppp6c	305	Mus musculus OX=10090	Serine/threonine-protein phosphatase 6 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	10	10	10	11947962	11947962	11947962	12C(57.0214), 12K(229.1629), 13M(15.9949), 15K(229.1629), 4C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629)			657588.7014	776005.3396	554839.1980	631132.1585	911185.8896	848887.4275	813550.4453	730950.9586	803947.0377	719394.9953
sp|Q9CQS8|SC61B_MOUSE	Q9CQS8	SC61B_MOUSE	Sec61b	96	Mus musculus OX=10090	Protein transport protein Sec61 subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	9	9	9	42582562	42582562	42582562	10K(229.1629), N-term(229.1629)			1390500.7513	1963694.5491	1192730.3695	685278.9024	1615802.0273	1260761.8007	1141737.0934	878784.2734	950762.5437	689586.0257
sp|Q9CQT1|MTNA_MOUSE	Q9CQT1	MTNA_MOUSE	Mri1	369	Mus musculus OX=10090	Methylthioribose-1-phosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	16	16	16	22102057	22102057	22102057	10K(229.1629), 11K(229.1629), 18C(57.0214), 20M(15.9949), 25M(15.9949), 6C(57.0214), 8K(229.1629), N-term(229.1629)			851044.1683	913831.9494	701969.2070	726463.2287	1062677.5420	936360.0172	850758.1310	740790.8553	814704.7798	662057.6457
sp|Q9CQU0|TXD12_MOUSE	Q9CQU0	TXD12_MOUSE	Txndc12	170	Mus musculus OX=10090	Thioredoxin domain-containing protein 12 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	7	7	7	4832585	4832585	4832585	10M(15.9949), 14K(229.1629), 15K(229.1629), 9K(229.1629), N-term(229.1629)			373459.2430	380657.7024	297206.7532	312474.5293	459730.5361	402362.4716	390185.8689	345691.6172	356054.5210	326222.2780
sp|Q9CQV1|TIM16_MOUSE	Q9CQV1	TIM16_MOUSE	Pam16	125	Mus musculus OX=10090	Mitochondrial import inner membrane translocase subunit TIM16 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	7361503	7361503	7361503	7K(229.1629), N-term(229.1629)			271608.3541	288665.9204	235280.6243	199498.3500	280726.2871	269156.6843	236315.5406	181159.7128	170988.3134	160239.5457
sp|Q9CQV6|MLP3B_MOUSE	Q9CQV6	MLP3B_MOUSE	Map1lc3b	125	Mus musculus OX=10090	Microtubule-associated proteins 1A/1B light chain 3B 	1:Experimental evidence at protein level	1.0000	0.9988	3	1	3	3	1	3	5493272	2190664	5493272	14K(229.1629), 7K(229.1629), 9M(15.9949), N-term(229.1629)			196702.7403	172480.2200	151742.1584	197365.0895	247307.6719	279592.4530	268822.9415	257814.2139	243104.4466	257091.4871
sp|Q9CQV7|TIM14_MOUSE	Q9CQV7	TIM14_MOUSE	Dnajc19	116	Mus musculus OX=10090	Mitochondrial import inner membrane translocase subunit TIM14 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	6	2	6	9047227	1774118	9047227	14K(229.1629), 8K(229.1629), N-term(229.1629)			567274.6435	630328.8803	499233.9314	427731.4983	629305.3730	539183.6280	518496.8970	418026.9572	422896.9515	384573.9522
sp|Q9CQV8-2|1433B_MOUSE	Q9CQV8-2	1433B_MOUSE	Ywhab	244	Mus musculus OX=10090	Isoform Short of 14-3-3 protein beta/alpha 		1.0000	0.9990	8	0	8	22	0	22	707280648	     0	24845940	10S(229.1629), 11K(229.1629), 12K(229.1629), 19K(229.1629), 20K(229.1629), 25M(15.9949), N-term(229.1629)		sp|Q9CQV8|1433B_MOUSE	1789124.1708	1547029.9648	1304284.0717	1464627.5751	2218988.3633	1663807.5693	1549255.5094	1249476.1937	1388842.8971	1122613.9438
sp|Q9CQW1|YKT6_MOUSE	Q9CQW1	YKT6_MOUSE	Ykt6	198	Mus musculus OX=10090	Synaptobrevin homolog YKT6 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	21	21	21	5770896	5770896	5770896	10K(229.1629), 21S(229.1629), 22K(229.1629), 3K(229.1629), 5M(15.9949), 6C(57.0214), 7K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			966899.1878	1037543.4570	774382.7908	777711.6791	1126898.3086	832844.8523	959841.9756	793285.1827	797275.5217	750958.2063
sp|Q9CQW2|ARL8B_MOUSE	Q9CQW2	ARL8B_MOUSE	Arl8b	186	Mus musculus OX=10090	ADP-ribosylation factor-like protein 8B 	1:Experimental evidence at protein level	1.0000	0.9990	7	3	7	18	11	18	8462157	6786154	8462157	10K(229.1629), 16K(229.1629), 17K(229.1629), 23K(229.1629), 2K(229.1629), 3C(57.0214), 4C(57.0214), 8M(15.9949), 9C(57.0214), 9K(229.1629), N-term(229.1629)			747410.9969	674886.6127	587473.0563	724124.8608	932449.6611	865462.7321	897518.7681	769592.9472	762378.9396	761792.4202
sp|Q9CQX2|CYB5B_MOUSE	Q9CQX2	CYB5B_MOUSE	Cyb5b	146	Mus musculus OX=10090	Cytochrome b5 type B 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	13	13	13	25773420	25773420	25773420	10S(229.1629), 11K(229.1629), 13K(229.1629), 15K(229.1629), 3S(229.1629), 4K(229.1629), 6K(229.1629), 8K(229.1629), N-term(229.1629), N-term(42.0106)			1007965.2089	1095891.9512	740866.1525	752605.4823	1180326.1299	898957.9692	1026780.1658	850838.6882	842061.8495	815911.7909
sp|Q9CQX8|KGD4_MOUSE	Q9CQX8	KGD4_MOUSE	Mrps36	102	Mus musculus OX=10090	Alpha-ketoglutarate dehydrogenase component 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	22	22	22	43258600	43258600	43258600	13K(229.1629), 1K(229.1629), 21K(229.1629), 2K(229.1629), 2S(229.1629), 3M(15.9949), 4M(15.9949), 4S(229.1629), 6K(229.1629), 8M(15.9949), 9M(15.9949), N-term(229.1629)			2545436.9226	2670843.7743	2168311.5185	1785761.0512	2808464.0215	2581797.4032	1732049.5296	1583605.6409	1367873.3995	1357125.6619
sp|Q9CQY6|UQCC2_MOUSE	Q9CQY6	UQCC2_MOUSE	Uqcc2	136	Mus musculus OX=10090	Ubiquinol-cytochrome-c reductase complex assembly factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	13	13	13	16094802	16094802	16094802	11K(229.1629), 13C(57.0214), 13K(229.1629), 14M(15.9949), 16K(229.1629), 16M(15.9949), 2C(57.0214), 7K(229.1629), 9K(229.1629), N-term(229.1629)			1092302.8279	1255394.0155	1047611.4444	992485.8430	1355103.7661	1229389.4626	1176670.1976	918270.2500	881673.1643	917621.6215
sp|Q9CQZ5|NDUA6_MOUSE	Q9CQZ5	NDUA6_MOUSE	Ndufa6	131	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	38	38	38	151949684	151949684	151949684	10K(229.1629), 12K(229.1629), 16K(229.1629), 1M(15.9949), 2K(229.1629), 3M(15.9949), 8K(229.1629), 9M(15.9949), N-term(229.1629), N-term(42.0106)			7215946.6226	7633567.3082	6484621.6627	5665951.2336	7872156.6702	7504459.7095	5405609.6713	4631017.3098	3888186.0799	4091413.2172
sp|Q9CQZ6|NDUB3_MOUSE	Q9CQZ6	NDUB3_MOUSE	Ndufb3	104	Mus musculus OX=10090	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	19	19	19	81075851	81075851	81075851	11K(229.1629), 12K(229.1629), 17K(229.1629), 1M(15.9949), 2M(15.9949), N-term(229.1629)			3882720.8471	4119679.5800	3436345.8049	3229315.5994	4096008.4673	4467332.8548	3149426.4266	2707754.8403	2656017.1929	2474328.3663
sp|Q9CR00|PSMD9_MOUSE	Q9CR00	PSMD9_MOUSE	Psmd9	222	Mus musculus OX=10090	26S proteasome non-ATPase regulatory subunit 9 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	19	19	19	13670750	13670750	13670750	10K(229.1629), 11C(57.0214), 11K(229.1629), 11M(15.9949), 2K(229.1629), 4M(15.9949), 5C(57.0214), N-term(229.1629), N-term(42.0106)			1290898.4998	1525754.3183	1152351.4984	1164356.6585	1592295.2246	1493114.5190	1370150.3731	1363328.4912	1320154.4059	1193719.2415
sp|Q9CR09|UFC1_MOUSE	Q9CR09	UFC1_MOUSE	Ufc1	167	Mus musculus OX=10090	Ubiquitin-fold modifier-conjugating enzyme 1 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	14	14	14	17300304	17300304	17300304	1C(57.0214), 2C(57.0214), 2K(229.1629), 8K(229.1629), 9K(229.1629), N-term(229.1629)			1317106.1359	1567041.0791	1068746.4726	1293129.2479	1812222.0498	1464269.2942	1079207.1066	974109.1632	1057448.7727	811306.8759
sp|Q9CR13|FMC1_MOUSE	Q9CR13	FMC1_MOUSE	Fmc1	113	Mus musculus OX=10090	Protein FMC1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	4066146	4066146	4066146	12K(229.1629), N-term(229.1629), N-term(42.0106)			50383.6824	52063.8185	47468.6620	52245.0648	66719.3301	48184.3318	49469.5676	38908.7822	45365.6890	49294.1538
sp|Q9CR16|PPID_MOUSE	Q9CR16	PPID_MOUSE	Ppid	370	Mus musculus OX=10090	Peptidyl-prolyl cis-trans isomerase D 	1:Experimental evidence at protein level	1.0000	0.9990	18	17	18	38	36	38	43809819	16222176	43809819	10K(229.1629), 11K(229.1629), 12K(229.1629), 13K(229.1629), 14K(229.1629), 15C(57.0214), 16K(229.1629), 19K(229.1629), 21K(229.1629), 2C(57.0214), 31K(229.1629), 3C(57.0214), 3S(229.1629), 6M(15.9949), 7C(57.0214), 7K(229.1629), 8C(57.0214), 8K(229.1629), 9K(229.1629), N-term(229.1629)			4946991.5804	5724448.3482	4400912.2437	4138535.8099	5593449.8164	4797032.6014	4485910.7283	3836108.0311	3589119.3055	3369152.8257
sp|Q9CR21|ACPM_MOUSE	Q9CR21	ACPM_MOUSE	Ndufab1	156	Mus musculus OX=10090	Acyl carrier protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	34	34	34	78071714	78071714	78071714	14K(229.1629), 15K(229.1629), 2M(15.9949), 2S(229.1629), 3C(57.0214), 4K(229.1629), 5S(229.1629), 8K(229.1629), 8M(15.9949), 9K(229.1629), N-term(229.1629)			4896098.5569	4288546.0010	3327141.9480	4378737.6237	6886249.0703	4754530.3858	3509596.6949	3102350.5753	3546468.4036	2541873.4963
sp|Q9CR24|NUDT8_MOUSE	Q9CR24	NUDT8_MOUSE	Nudt8	210	Mus musculus OX=10090	Mitochondrial coenzyme A diphosphatase NUDT8 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	14345282	14345282	14345282	12K(229.1629), 13C(57.0214), 1C(57.0214), N-term(229.1629)			280735.4834	249919.7308	229169.7111	303179.1171	348689.4824	296187.2575	436383.4954	343933.6159	395444.3705	396452.0005
sp|Q9CR26|VTA1_MOUSE	Q9CR26	VTA1_MOUSE	Vta1	309	Mus musculus OX=10090	Vacuolar protein sorting-associated protein VTA1 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	7	7	7	3729229	3729229	3729229	14K(229.1629), 20K(229.1629), 7C(57.0214), 9K(229.1629), N-term(229.1629), N-term(42.0106)			107934.5115	77979.2895	75814.5004	83058.0568	133247.1470	120814.6935	124259.6739	99769.0077	103577.3269	96151.3704
sp|Q9CR29|CCD43_MOUSE	Q9CR29	CCD43_MOUSE	Ccdc43	222	Mus musculus OX=10090	Coiled-coil domain-containing protein 43 	1:Experimental evidence at protein level	1.0000	0.9990	7	2	7	13	5	13	14904808	7323345	14904808	16K(229.1629), 2K(229.1629), 3K(229.1629), 7K(229.1629), N-term(229.1629), N-term(42.0106)			1538933.3543	2004615.7727	1329096.3751	1067727.3154	1859102.3467	1445230.8109	1345592.1208	1031595.3629	1141240.8845	850052.7441
sp|Q9CR41|HYPK_MOUSE	Q9CR41	HYPK_MOUSE	Hypk	121	Mus musculus OX=10090	Huntingtin-interacting protein K 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	7	1	7	15672577	2696266	15672577	1K(229.1629), 23K(229.1629), 3M(15.9949), 4S(229.1629), 8K(229.1629), N-term(229.1629), N-term(42.0106)			240670.9196	288247.7050	216502.1595	211141.8696	277538.2559	249741.2343	296544.7568	253189.0905	258598.1219	229367.4747
sp|Q9CR57|RL14_MOUSE	Q9CR57	RL14_MOUSE	Rpl14	217	Mus musculus OX=10090	60S ribosomal protein L14 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	15	15	15	34804214	34804214	34804214	10K(229.1629), 12K(229.1629), 13K(229.1629), 1C(57.0214), 1K(229.1629), 2M(15.9949), 5S(229.1629), 7C(57.0214), 7K(229.1629), 8K(229.1629), N-term(229.1629)			1546872.9225	1609536.1341	1185653.2274	1117111.1694	1628707.3672	1699006.8139	1497500.0934	1284858.2798	1229673.2677	1133778.9252
